,PROVEDORUF,PROVEDOR,UF,STATUS
0,76 TELECOMAM,76 TELECOM,AM,
1,76 TELECOMCE,76 TELECOM,CE,
2,76 TELECOMMT,76 TELECOM,MT,
3,76 TELECOMPR,76 TELECOM,PR,
4,76 TELECOMRJ,76 TELECOM,RJ,
5,76 TELECOMRS,76 TELECOM,RS,
6,76 TELECOMSP,76 TELECOM,SP,
7,A.HIKARU_KAMIDE (VISÃO NET)PR,A.HIKARU_KAMIDE (VISÃO NET),PR,
8,A.K.OKAMOTO (VISÃO NET)PR,A.K.OKAMOTO (VISÃO NET),PR,
9,ACESSEES,ACESSE,ES,
10,ACESSEMG,ACESSE,MG,
11,ACESSERJ,ACESSE,RJ,
12,ALGAR TELECOMAL,ALGAR TELECOM,AL,
13,ALGAR TELECOMBA,ALGAR TELECOM,BA,
14,ALGAR TELECOMCE,ALGAR TELECOM,CE,
15,ALGAR TELECOMDF,ALGAR TELECOM,DF,
16,ALGAR TELECOMES,ALGAR TELECOM,ES,
17,ALGAR TELECOMGO,ALGAR TELECOM,GO,
18,ALGAR TELECOMMA,ALGAR TELECOM,MA,
19,ALGAR TELECOMMG,ALGAR TELECOM,MG,
20,ALGAR TELECOMMS,ALGAR TELECOM,MS,
21,ALGAR TELECOMMT,ALGAR TELECOM,MT,
22,ALGAR TELECOMPA,ALGAR TELECOM,PA,
23,ALGAR TELECOMPB,ALGAR TELECOM,PB,
24,ALGAR TELECOMPE,ALGAR TELECOM,PE,
25,ALGAR TELECOMPR,ALGAR TELECOM,PR,
26,ALGAR TELECOMRJ,ALGAR TELECOM,RJ,
27,ALGAR TELECOMRN,ALGAR TELECOM,RN,
28,ALGAR TELECOMRS,ALGAR TELECOM,RS,
29,ALGAR TELECOMSC,ALGAR TELECOM,SC,
30,ALGAR TELECOMSE,ALGAR TELECOM,SE,
31,ALGAR TELECOMSP,ALGAR TELECOM,SP,
32,ALOOAL,ALOO,AL,
33,ALOOBA,ALOO,BA,
34,ALOOCE,ALOO,CE,
35,ALOOPB,ALOO,PB,
36,ALOOPE,ALOO,PE,
37,ALOORN,ALOO,RN,
38,ALOOSE,ALOO,SE,
39,ALSOLPB,ALSOL,PB,
40,ALSOLRN,ALSOL,RN,
41,ALTAREDERJ,ALTAREDE,RJ,
42,AMERICA NETBA,AMERICA NET,BA,
43,AMERICA NETDF,AMERICA NET,DF,
44,AMERICA NETES,AMERICA NET,ES,
45,AMERICA NETGO,AMERICA NET,GO,
46,AMERICA NETMG,AMERICA NET,MG,
47,AMERICA NETPR,AMERICA NET,PR,
48,AMERICA NETRJ,AMERICA NET,RJ,
49,AMERICA NETRS,AMERICA NET,RS,
50,AMERICA NETSP,AMERICA NET,SP,
51,AMERICAN TOWERMG,AMERICAN TOWER,MG,
52,ANDERLINEPB,ANDERLINE,PB,
53,ANTELRS,ANTEL,RS,
54,ARIONES,ARION,ES,AEROPORTO
55,ARIONMG,ARION,MG,AEROPORTO
56,ARIONSP,ARION,SP,AEROPORTO
57,ARQUEIRO TELECOMAC,ARQUEIRO TELECOM,AC,
58,ARQUEIRO TELECOMAL,ARQUEIRO TELECOM,AL,
59,ARQUEIRO TELECOMAM,ARQUEIRO TELECOM,AM,
60,ARQUEIRO TELECOMAP,ARQUEIRO TELECOM,AP,
61,ARQUEIRO TELECOMBA,ARQUEIRO TELECOM,BA,
62,ARQUEIRO TELECOMCE,ARQUEIRO TELECOM,CE,
63,ARQUEIRO TELECOMDF,ARQUEIRO TELECOM,DF,
64,ARQUEIRO TELECOMES,ARQUEIRO TELECOM,ES,
65,ARQUEIRO TELECOMGO,ARQUEIRO TELECOM,GO,
66,ARQUEIRO TELECOMMA,ARQUEIRO TELECOM,MA,
67,ARQUEIRO TELECOMMG,ARQUEIRO TELECOM,MG,
68,ARQUEIRO TELECOMMS,ARQUEIRO TELECOM,MS,
69,ARQUEIRO TELECOMMT,ARQUEIRO TELECOM,MT,
70,ARQUEIRO TELECOMPA,ARQUEIRO TELECOM,PA,
71,ARQUEIRO TELECOMPB,ARQUEIRO TELECOM,PB,
72,ARQUEIRO TELECOMPE,ARQUEIRO TELECOM,PE,
73,ARQUEIRO TELECOMPI,ARQUEIRO TELECOM,PI,
74,ARQUEIRO TELECOMPR,ARQUEIRO TELECOM,PR,
75,ARQUEIRO TELECOMRJ,ARQUEIRO TELECOM,RJ,
76,ARQUEIRO TELECOMRN,ARQUEIRO TELECOM,RN,
77,ARQUEIRO TELECOMRO,ARQUEIRO TELECOM,RO,
78,ARQUEIRO TELECOMRR,ARQUEIRO TELECOM,RR,
79,ARQUEIRO TELECOMRS,ARQUEIRO TELECOM,RS,
80,ARQUEIRO TELECOMSC,ARQUEIRO TELECOM,SC,
81,ARQUEIRO TELECOMSE,ARQUEIRO TELECOM,SE,
82,ARQUEIRO TELECOMSP,ARQUEIRO TELECOM,SP,
83,ARQUEIRO TELECOMTO,ARQUEIRO TELECOM,TO,
84,ASCENTYSP,ASCENTY,SP,
85,ATINFOBA,ATINFO,BA,
86,BOINGOSP,BOINGO,SP,AEROPORTO
87,BRFIBRABA,BRFIBRA,BA,
88,BRFIBRACE,BRFIBRA,CE,
