sequencial;latitude;longitude;uf;cnl;facilidade;id_facilidade;provedor;id_provedor;entrega;abordado;custo_de_acesso_proprio;instalacao_terceiros;mensalidade_terceiros;tipo_terceiros;id_da_sev;prazo;bb_ip;hp_bsod;codigo_spe;sinalizacao_sip;protocolo_gaia;obs;justificativa;ID Justificativa;status;tecnologia
8709469;-23,5094991;-47,3610706;SP;SOC;FO GPON RESID ETH PRE VIAVEL;50;CLARO BRASIL;8;SPO IG;NAO;10559;;;;1635161;;;;;;11853789;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA SOC PH/FABRICANTE ZTE CONCENTRADOR OLT SOCJBVAAOLT01;;;1;GPON RES RESID PV
8709477;-22,8413847;-43,256929;RJ;RJO;FO GPON RESID ETH PRE VIAVEL;50;CLARO BRASIL;8;RJO AM;NAO;10559;;;;1635162;;;;;;11853790;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA RJO EN/FABRICANTE ZTE CONCENTRADOR OLT RJOOLRAAOLT01;;;1;GPON RES RESID PV
8709480;-29,16782;-51,184981;RS;CSL;FO GPON RESID ETH PRE VIAVEL;50;CLARO BRASIL;8;PAE BV;NAO;10559;;;;1635165;;;;;;11853792;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA CSL NET/FABRICANTE HUAWEI CONCENTRADOR OLT CSLCENACOLT01;;;1;GPON RES RESID PV
8709481;-20,7332216;-46,5738507;MG;PSO;TERCEIROS ETH;26;IG NETWORKS;146;BHE ES;NAO;;6000;4120;3;1635166;;;;;;11853793;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA BHE ES;FORA DE REDE;1;1;TERCEIROS ETH
8709483;-20,7332216;-46,5738507;MG;PSO;TERCEIROS ETH;26;IG NETWORKS;146;BHE ES;NAO;;6000;6901;3;1635167;;;;;;11853794;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA BHE ES;FORA DE REDE;1;1;TERCEIROS ETH
8709486;-23,4973832;-46,666073;SP;SPO;FO EDD CLARO PRE VIAVEL;5;CLARO BRASIL;8;SPO IG;NAO;9797;;;;1635168;;111334;;;;11853795;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA SPO IG/NUVEM SMCVEF5 - NUVEM PRE VIAVEL SITE SMCVEF5;;;1;FO EDD PV
8709488;-22,4427992;-47,5713532;SP;RCO;TERCEIROS ETH;26;IG NETWORKS;146;SPO IG;NAO;;6000;6901;3;1635169;;;;;;11853796;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA SPO IG;FORA DE REDE;1;1;TERCEIROS ETH
8709493;-23,5300049;-47,1458461;SP;SRE;TERCEIROS ETH;26;IG NETWORKS;146;SPO IG;NAO;;3500;2200;3;1635170;;;;;;11853797;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA SPO IG;FORA DE REDE;1;1;TERCEIROS ETH
8709497;-3,7645382;-38,494983;CE;FLA;FO GPON ETH;8;CLARO BRASIL;8;FLA PV;NAO;9837;;;;1635173;;111335;;;;11853798;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA FLA AWS/FLA AWS_GPON;;;1;GPON FIXA
8709502;-23,5300049;-47,1458461;SP;SRE;TERCEIROS ETH;26;IG NETWORKS;146;SPO IG;NAO;;3500;2200;3;1635175;;;;;;11853799;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA SPO IG;FORA DE REDE;1;1;TERCEIROS ETH
